code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
603055,N台华,纺织,浙江,18.05,0.3670000000000001,4.06,3.26,6.624350000000002,13.235599999999998,22.493074792243764,,,,
603533,N掌阅,互联网,北京,17.18,0.17,2.63,2.22,2.9206000000000003,5.8386000000000005,15.308498253783469,,,,
600778,友好集团,百货,新疆,0.0,-0.627,2.56,3.22,-0.0,8.2432,,-11.04,-28.58,-1.33,-17.74
002639,雪人股份,专用机械,福建,349.6,0.016,3.31,3.38,5.5936,11.1878,0.9467963386727688,,,0.06,0.47
300700,岱勒新材,矿物制品,湖南,32.84,0.448,6.68,4.41,14.712320000000002,29.4588,20.341047503045065,,18.22,,
300500,启迪设计,建筑施工,江苏,73.56,0.27,6.66,5.81,19.8612,38.6946,9.053833605220229,,,1.39,4.59
603106,恒银金融,电脑设备,天津,26.68,0.319,4.35,3.91,8.51092,17.008499999999998,16.304347826086953,,21.78,,11.5
002899,英派斯,文教休闲,山东,49.47,0.342,6.51,5.2,16.91874,33.852,13.159490600363856,,21.42,3.5,
002596,海南瑞泽,其他建材,海南,66.68,0.068,4.06,2.24,4.5342400000000005,9.0944,6.088782243551289,0.79,3.36,,3.03
603648,畅联股份,仓储物流,上海,42.68,0.22,6.13,3.07,9.3896,18.8191,14.362699156513589,,16.27,,9.47
300701,森霸股份,元器件,河南,40.25,0.344,9.87,2.81,13.845999999999998,27.734699999999997,24.52173913043478,,30.46,,16.23
002895,川恒股份,化工原料,贵州,80.42,0.225,8.12,4.46,18.0945,36.215199999999996,10.096990798308877,,8.2,1.97,5.64
603355,莱克电气,家用电器,江苏,44.45,0.562,6.46,7.73,24.980900000000005,49.9358,14.53318335208099,12.48,,4.78,7.29
300702,天宇股份,化学制药,浙江,31.09,0.628,5.38,7.26,19.52452,39.0588,17.304599549694437,,22.25,,
300550,和仁科技,软件服务,浙江,136.14,0.156,7.03,6.06,21.23784,42.6018,5.163801968561775,15.17,,0.23,2.57
300477,合纵科技,电气设备,北京,130.82,0.12,9.26,3.11,15.6984,28.798599999999997,7.0784283748662284,,,-1.43,3.75
002859,洁美科技,元器件,浙江,71.29,0.315,9.03,4.97,22.45635,44.879099999999994,12.666573151914712,,28.42,4.51,8.85
300340,科恒股份,元器件,广东,42.78,0.516,3.86,11.43,22.07448,44.1198,9.022907900888265,0.73,3.96,1.6,4.61
300698,万马科技,通信设备,浙江,95.07,0.19,17.34,2.08,18.063299999999998,36.0672,18.23919217418744,,22.34,,12.95
300631,久吾高科,环境保护,江苏,225.42,0.081,6.87,5.3,18.25902,36.411,3.047644397125366,8.13,11.54,0.67,1.75
300692,中环环保,环境保护,安徽,175.05,0.17600000000000002,10.59,5.82,30.808800000000005,61.6338,6.049700085689802,,10.9,,4.12
