code,name,industry,area,市盈率(pe),每股收益,市净率(pb),每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
603055,N台华,纺织,浙江,18.05,0.367,4.06,3.26,6.62435,13.2356,22.49307479,,,,
603533,N掌阅,互联网,北京,17.18,0.17,2.63,2.22,2.9206,5.8386,15.30849825,,,,
600778,友好集团,百货,新疆,0,-0.627,2.56,3.22,0,8.2432,,-11.04,-28.58,-1.33,-17.74
2639,雪人股份,专用机械,福建,349.6,0.016,3.31,3.38,5.5936,11.1878,0.946796339,,,0.06,0.47
300700,岱勒新材,矿物制品,湖南,32.84,0.448,6.68,4.41,14.71232,29.4588,20.3410475,,18.22,,
300500,启迪设计,建筑施工,江苏,73.56,0.27,6.66,5.81,19.8612,38.6946,9.053833605,,,1.39,4.59
603106,恒银金融,电脑设备,天津,26.68,0.319,4.35,3.91,8.51092,17.0085,16.30434783,,21.78,,11.5
2899,英派斯,文教休闲,山东,49.47,0.342,6.51,5.2,16.91874,33.852,13.1594906,,21.42,3.5,
2596,海南瑞泽,其他建材,海南,66.68,0.068,4.06,2.24,4.53424,9.0944,6.088782244,0.79,3.36,,3.03
603648,畅联股份,仓储物流,上海,42.68,0.22,6.13,3.07,9.3896,18.8191,14.36269916,,16.27,,9.47
300701,森霸股份,元器件,河南,40.25,0.344,9.87,2.81,13.846,27.7347,24.52173913,,30.46,,16.23
2895,川恒股份,化工原料,贵州,80.42,0.225,8.12,4.46,18.0945,36.2152,10.0969908,,8.2,1.97,5.64
603355,莱克电气,家用电器,江苏,44.45,0.562,6.46,7.73,24.9809,49.9358,14.53318335,12.48,,4.78,7.29
300702,天宇股份,化学制药,浙江,31.09,0.628,5.38,7.26,19.52452,39.0588,17.30459955,,22.25,,
300550,和仁科技,软件服务,浙江,136.14,0.156,7.03,6.06,21.23784,42.6018,5.163801969,15.17,,0.23,2.57
300477,合纵科技,电气设备,北京,130.82,0.12,9.26,3.11,15.6984,28.7986,7.078428375,,,-1.43,3.75
2859,洁美科技,元器件,浙江,71.29,0.315,9.03,4.97,22.45635,44.8791,12.66657315,,28.42,4.51,8.85
300340,科恒股份,元器件,广东,42.78,0.516,3.86,11.43,22.07448,44.1198,9.022907901,0.73,3.96,1.6,4.61
300698,万马科技,通信设备,浙江,95.07,0.19,17.34,2.08,18.0633,36.0672,18.23919217,,22.34,,12.95
300631,久吾高科,环境保护,江苏,225.42,0.081,6.87,5.3,18.25902,36.411,3.047644397,8.13,11.54,0.67,1.75
300692,中环环保,环境保护,安徽,175.05,0.176,10.59,5.82,30.8088,61.6338,6.049700086,,10.9,,4.12
603882,金域医学,医疗保健,广东,64.12,0.184,7.74,3.04,11.79808,23.5296,12.07111666,,16.75,,7.36
2898,赛隆药业,化学制药,广东,57.37,0.203,9.76,2.39,11.64611,23.3264,17.01237581,,25.65,,12.02
603813,原尚股份,仓储物流,广东,35.39,0.275,3.71,5.25,9.73225,19.4775,10.48318734,,13.56,,7.25
2893,华通热力,供气供热,北京,14.03,0.643,4.05,4.45,9.02129,18.0225,28.86671418,,15.78,28.53,20.43
603630,拉芳家化,日用化工,广东,58.27,0.35,3.81,9.27,20.3945,35.3187,6.538527544,,19.53,3.97,4.27
300703,创源文化,文教休闲,浙江,57.35,0.301,11.36,3.04,17.26235,34.5344,19.80819529,,48.8,,12.99
603183,建研院,建筑施工,江苏,105.74,0.29,11.75,5.22,30.6646,61.335,11.11216191,,18.17,3.38,7.51
300699,光威复材,化工原料,山东,74.16,0.415,10.85,5.67,30.7764,61.5195,14.63052859,,15.19,,10.25
300697,电工合金,铜,江苏,73.45,0.194,8.3,3.44,14.2493,28.552,11.30020422,,16.49,,7.71
300666,江丰电子,元器件,浙江,222.28,0.11,17.52,2.39,24.4508,41.8728,7.881950693,,20.96,3.26,5.07
2156,通富微电,半导体,江苏,71.86,0.088,3.08,4.11,6.32368,12.6588,4.286111884,,4.74,0.92,2.16
2180,纳思达,电脑设备,广东,0,-1.02,39.6,0.74,0,29.304,,13.15,3.31,,
603386,广东骏亚,元器件,广东,63.2,0.139,8.97,1.95,8.7848,17.4915,14.19303797,,25.45,,9.92
2510,天汽模,汽车配件,天津,49.1,0.085,3.31,2.53,4.1735,8.3743,6.741344196,6.37,7.98,,3.72
603559,中通国脉,通信设备,吉林,178.69,0.081,7.35,3.93,14.47389,28.8855,4.11326879,nan,13.11,,2.05
603321,梅轮电梯,运输设备,浙江,44.13,0.145,5.36,2.38,6.39885,12.7568,12.14593247,,20.38,,8.75
300019,硅宝科技,化工原料,四川,96.86,0.056,5.01,2.16,5.42416,10.8216,5.172413793,10.22,13.54,0.52,2.54
2194,武汉凡谷,通信设备,湖北,0,-0.415,2.79,3.12,0,8.7048,,-0.37,-8.31,,-12.47
600460,士兰微,半导体,浙江,72.83,0.068,4.84,2.04,4.95244,9.8736,6.645613072,,3.93,,3.35
603958,哈森股份,服饰,江苏,57.61,0.201,4.35,5.33,11.57961,23.1855,7.550772435,,,,3.67
300591,万里马,服饰,广东,161.1,0.042,9.83,1.38,6.7662,13.5654,6.101800124,nan,14.07,-0.85,4.58
300312,邦讯技术,通信设备,北京,0,-0.044,5.52,2.48,0,13.6896,,,2.46,-1.69,
2185,华天科技,半导体,甘肃,35.77,0.12,3.57,2.4,4.2924,8.568,9.980430528,6.12,,,5.06
600848,上海临港,园区开发,上海,81.47,0.17,4.94,5.62,13.8499,27.7628,6.063581687,4.86,9.13,0.93,3.14
920,南方汇通,环境保护,贵州,45.86,0.149,7,1.95,6.83314,13.65,15.26384649,,10.38,4.17,7.7
2561,徐家汇,百货,上海,25.58,0.276,2.9,4.87,7.06008,14.123,11.33698202,8.65,12.07,,5.49
300655,晶瑞股份,化工原料,江苏,106.1,0.162,7.14,4.82,17.1882,34.4148,6.729500471,,12.24,,4.5
600220,江苏阳光,纺织,江苏,98.55,0.02,3.5,1.12,1.971,3.92,3.551496702,7.02,8.14,0.06,1.79
300225,金力泰,染料涂料,上海,136.83,0.055,8.17,1.85,7.52565,15.1145,5.970912812,,8.29,1.23,
300084,海默科技,石油开采,甘肃,938.74,0.005,2.07,4.71,4.6937,9.7497,0.220508341,0.25,,-0.16,
603929,亚翔集成,装修装饰,江苏,33.79,0.381,5.87,4.38,12.87399,25.7106,17.37200355,25.27,,,8.8
603678,火炬电子,元器件,福建,54.77,0.257,5.31,5.31,14.07589,28.1961,9.695088552,,12.45,,4.91
632,三木集团,综合类,福建,336.77,0.011,2.7,2.69,3.70447,7.263,0.801734121,,1.34,0.24,0.4
2808,苏州恒久,元器件,江苏,100.45,0.084,6.11,2.74,8.4378,16.7414,6.082628173,6.87,10.93,1.23,
2274,华昌化工,农药化肥,江苏,96.85,0.048,2.24,4.12,4.6488,9.2288,2.31285493,0.59,,1.81,1.13
2722,金轮股份,纺织机械,江苏,48.02,0.354,3.51,9.7,16.99908,34.047,7.309454394,6.79,,1.48,3.69
300398,飞凯材料,染料涂料,上海,166.01,0.067,10.12,2.18,11.12267,22.0616,6.096018312,,8.99,1.87,3.08
600871,石化油服,石油开采,北京,0,-0.162,7.54,0.45,0,3.393,,,,,-31.3
2331,皖通科技,软件服务,安徽,81.14,0.092,4,3.73,7.46488,14.92,4.929751048,4.48,6.1,0.91,2.48
300353,东土科技,通信设备,北京,93.58,0.084,3.82,4.13,7.86072,15.7766,4.082068818,,7.62,0.47,2.09
