code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
603963,N理药,化学制药,云南,29.07,0.312,7.24,2.5,9.06984,18.1,24.905400756793945,,,,
002901,N大博,医疗保健,福建,25.3,0.329,9.41,1.77,8.3237,16.6557,37.19367588932806,,,,
002900,N哈三联,化学制药,黑龙江,33.87,0.384,4.93,5.27,13.006079999999999,25.981099999999998,14.55565397106584,,,,
603055,台华新材,纺织,浙江,19.86,0.3670000000000001,4.47,3.26,7.288620000000002,14.572199999999999,22.507552870090635,,,,
002893,华通热力,供气供热,北京,15.44,0.643,4.46,4.45,9.92792,19.847,28.8860103626943,,15.78,28.53,20.43
300277,海联讯,软件服务,深圳,0.0,-0.019,7.22,1.38,-0.0,9.9636,,-3.93,5.5,,
603882,金域医学,医疗保健,广东,70.54,0.184,8.51,3.04,12.979360000000002,25.8704,12.064077119364898,,16.75,,7.36
600444,国机通用,塑料,安徽,133.31,0.07,7.75,2.41,9.331700000000001,18.677500000000002,5.813517365538969,,4.59,3.17,3.28
300566,激智科技,元器件,浙江,98.7,0.3,6.76,5.67,29.61,38.3292,6.84903748733536,16.2,,1.83,3.64
603559,中通国脉,通信设备,吉林,196.59,0.081,8.09,3.93,15.92379,31.7937,4.115163538328501,nan,13.11,,2.05
300702,天宇股份,化学制药,浙江,34.2,0.628,5.92,7.26,21.477600000000002,42.9792,17.309941520467834,,22.25,,
300703,创源文化,文教休闲,浙江,63.09,0.301,12.5,3.04,18.990090000000002,38.0,19.81296560469171,,48.8,,12.99
603813,原尚股份,仓储物流,广东,38.94,0.275,4.08,5.25,10.7085,21.42,10.477657935285055,,13.56,,7.25
000969,安泰科技,钢加工,北京,302.06,0.02,2.71,4.43,6.0412,12.005299999999998,0.8971727471363306,1.69,,0.06,0.45
603321,梅轮电梯,运输设备,浙江,48.54,0.145,5.9,2.38,7.0383,14.042,12.15492377420684,,20.38,,8.75
002895,川恒股份,化工原料,贵州,88.47,0.225,8.93,4.46,19.90575,39.827799999999996,10.093817113145699,,8.2,1.97,5.64
603648,畅联股份,仓储物流,上海,46.95,0.22,6.74,3.07,10.329,20.6918,14.35569755058573,,16.27,,9.47
603595,东尼电子,元器件,浙江,75.77,0.465,17.72,3.98,35.23305,70.5256,23.38656460340504,,28.83,6.71,nan
