code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
600199,金种子酒,白酒,安徽,475.54,0.009,2.16,4.04,8.7264,0.454220465,0.45,0.76,0.28,0.23
600702,沱牌舍得,白酒,四川,100.83,0.185,5.32,7.01,37.2932,5.276207478,2.41,3.51,1.74,2.66
600559,老白干酒,白酒,河北,103.97,0.108,5.95,3.79,22.5505,5.722804655,5.3,,2.54,2.91
860,顺鑫农业,白酒,北京,22.76,0.429,1.61,12.12,19.5132,7.073813708,4.49,7.09,,
2646,青青稞酒,白酒,青海,38.07,0.235,3.21,5.57,17.8797,8.431836091,,8.98,,4.2
799,酒鬼酒,白酒,湖南,54.27,0.255,4.7,5.89,27.683,8.660401695,,6,1.97,4.34
600197,伊力特,白酒,新疆,30.33,0.367,4.97,4.48,22.2656,16.38641609,12.32,14.9,5.62,7.87
603919,金徽酒,白酒,甘肃,26.89,0.39,4.44,4.71,20.9124,16.51171439,12.57,16.28,6.69,6.12
600779,水井坊,白酒,四川,82.35,0.234,13.87,2.78,38.5586,16.84274438,,16.29,6.08,7.5
603198,迎驾贡酒,白酒,安徽,23.92,0.412,4.17,4.72,19.6824,17.43311037,12.46,17.84,7.07,8.37
596,古井贡酒,白酒,安徽,26.53,1.09,5,11.56,57.8,18.84658877,11.21,15.88,7.05,9.86
858,五 粮 液,白酒,四川,21.41,1.31,4.38,12.81,56.1078,20.45773003,11.37,,,10.03
603589,口子窖,白酒,安徽,26.21,0.876,6.13,7.49,45.9137,23.38801984,18.02,19.81,7.42,11.79
600809,山西汾酒,白酒,山西,38.73,0.695,9.53,5.65,53.8445,24.60624839,10.51,13.24,,12.98
568,泸州老窖,白酒,四川,27.78,1.05,7,7.95,55.65,25.19798416,,17.79,6.99,12.49
603369,今世缘,白酒,江苏,15.88,0.518,4.1,4,16.4,25.8186398,15.16,17.6,8.02,13.26
2304,洋河股份,白酒,江苏,18.67,2.593,5.45,17.78,96.901,29.19121585,20.04,24.01,10,
600519,贵州茅台,白酒,贵州,27.91,8.956,8.3,60.2,499.66,29.738445,18.45,24.44,,14.33
995,皇台酒业,白酒,甘肃,0,-0.308,-261.37,-0.05,13.0685,,,-150.45,,nan
882,华联股份,百货,北京,183.86,0.01,1.26,2.87,3.6162,0.685304036,2.03,,,0.43
560,昆百大Ａ,百货,云南,250.23,0.022,3.39,3.21,10.8819,1.354753627,1.65,2.12,0.38,
679,大连友谊,百货,辽宁,161.35,0.028,2.3,3.94,9.062,1.425472575,-12.81,10.08,0.82,
564,供销大集,百货,陕西,58.58,0.057,1.35,4.97,6.7095,2.304540799,0.21,3.06,,
300413,快乐购,百货,湖南,204.54,0.05,4.95,4.09,20.2455,2.420064535,2.16,4.17,,1.22
600682,南京新百,百货,江苏,241.57,0.08,6.05,6.37,38.5385,2.504450056,-20.78,15.97,-1.11,
600774,汉商集团,百货,湖北,216.25,0.042,5.5,3.29,18.095,2.543352601,1.21,2.04,,1.27
600858,银座股份,百货,山东,42.61,0.096,1.41,5.8,8.178,3.309082375,,0.74,1.24,1.66
600861,北京城乡,百货,北京,43.24,0.146,1.74,7.24,12.5976,4.024051804,,3.81,,1.95
600865,百大集团,百货,浙江,58.82,0.093,2.37,4.63,10.9731,4.029241755,6.19,6.04,,2.04
603123,翠微股份,百货,北京,39.18,0.113,1.58,5.62,8.8796,4.032669729,1.98,,1.28,
600891,秋林集团,百货,黑龙江,32.08,0.13,1.72,4.83,8.3076,5.36159601,6.97,7.26,1.81,
715,中兴商业,百货,辽宁,44.9,0.123,2.52,4.41,11.1132,5.61247216,2.7,7.49,1.31,2.82
600515,海航基础,百货,海南,26.26,0.271,1.56,9.1,14.196,5.940594059,,5.04,9.85,3.09
600655,豫园股份,百货,上海,24.78,0.228,1.48,7.64,11.3072,5.972558515,4.64,4.97,1.84,3.03
603031,安德利,百货,安徽,73.69,0.234,4.69,7.37,34.5653,6.364499932,8.9,10.72,1.33,3.17
600857,宁波中百,百货,浙江,67.53,0.094,4.41,2.87,12.6567,6.53043092,5.3,,1.6,3.25
516,国际医学,百货,陕西,41.64,0.062,2.83,1.83,5.1789,6.796349664,5.72,5.93,,3.46
2187,广百股份,百货,广东,20.92,0.285,1.59,7.51,11.9409,7.600382409,4.6,6.2,,
600814,杭州解百,百货,浙江,45.21,0.122,3.52,3.14,11.0528,7.785888078,,9.42,1.92,
419,通程控股,百货,湖南,24.07,0.147,1.9,3.73,7.087,7.89364354,4.41,5.4,,4.04
600838,上海九百,百货,上海,50.33,0.125,4.17,3.02,12.5934,8.285316908,13.21,15.04,1.76,3.97
600738,兰州民百,百货,甘肃,44.59,0.104,4.09,2.26,9.2434,9.172460193,,5.15,1.37,4.66
600693,东百集团,百货,福建,52.5,0.104,4.88,2.23,10.8824,9.295238095,0.45,5.42,1.57,4.76
600697,欧亚集团,百货,吉林,17.03,0.835,1.59,17.86,28.3974,9.336465062,9.29,,,6.08
600824,益民集团,百货,上海,30.64,0.095,2.91,1.99,5.7909,9.497389034,6.82,,2.43,4.76
601366,利群股份,百货,山东,26.68,0.28,2.56,5.05,12.928,9.595202399,,14.03,,6.27
600723,首商股份,百货,北京,18.18,0.262,1.76,5.4,9.504,9.680968097,,8.74,,4.83
417,合肥百货,百货,安徽,20.81,0.226,2.03,4.65,9.4395,9.754925517,6.67,8.16,3.09,4.82
603101,汇嘉时代,百货,新疆,33.36,0.269,3.43,5.23,17.9389,10.28177458,,9.64,2.69,5.2
