code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pe*eps),股价(pb*bvps),净资产收益(roe),20164,20171,20172,20173
603278,N大业,钢加工,山东,31.94,0.518,5.14,4.29,右边股价,22.0506,16.0926737633062,,,,17.18
603076,N乐惠,专用机械,浙江,29.95,0.711,3.7,7.66,右边股价,28.342000000000002,12.353923205342237,,,,13.19
300164,通源石油,石油开采,陕西,206.05,0.024,1.92,3.48,右边股价,6.6815999999999995,0.9318126668284397,,,0.27,0.71
601222,林洋能源,电器仪表,江苏,26.64,0.311,2.27,4.88,右边股价,11.0776,8.52102102102102,6.72,,,6.26
603323,吴江银行,银行,江苏,18.66,0.44,1.86,5.73,右边股价,10.657800000000002,9.967845659163988,9.48,2.17,,
300722,新余国科,专用机械,江西,30.92,0.34600000000000003,3.86,3.69,右边股价,14.2434,12.483829236739973,,,,13.03
601313,江南嘉捷,运输设备,江苏,94.09,0.113,3.37,4.21,右边股价,14.1877,3.5816771176533106,,0.96,1.55,
300227,光韵达,元器件,深圳,67.3,0.333,6.4,4.67,右边股价,29.888,9.50965824665676,,1.15,,6.01
603937,丽岛新材,铝,江苏,59.61,0.339,5.48,4.91,右边股价,26.906800000000004,9.193088407985238,,,,nan
300720,海川智能,电器仪表,广东,62.39,0.327,6.18,4.41,右边股价,27.2538,9.905433563071005,,,,10.09
603083,剑桥科技,通信设备,上海,31.76,0.563,2.41,9.91,右边股价,23.883100000000002,7.5881612090680095,,,,7.86
603856,东宏股份,塑料,山东,36.55,0.519,4.04,6.25,右边股价,25.25,11.053351573187415,,,,11.03
300390,天华超净,电脑设备,江苏,101.22,0.066,3.72,2.39,右边股价,8.8908,3.675163011262596,,0.83,1.53,
002371,北方华创,半导体,北京,197.98,0.175,6.5,7.12,右边股价,46.28,3.283159915142944,,0.05,,2.49
002278,神开股份,化工机械,上海,0.0,-0.019,3.78,2.9,右边股价,10.962,,-9.75,,-0.99,
000038,深大通,广告包装,深圳,32.02,0.53,2.15,10.14,右边股价,21.801000000000002,6.714553404122423,6.81,1.84,3.56,5.13
002909,集泰股份,化工原料,广东,67.86,0.309,8.78,3.18,右边股价,27.9204,12.938402593575006,,,,13.86
603916,苏博特,化工原料,江苏,28.31,0.379,2.64,5.41,右边股价,14.2824,9.325326739667963,,,,9.84
600507,方大特钢,特种钢,江西,9.52,1.161,5.07,2.91,右边股价,14.753700000000002,53.25630252100841,28.51,,,
603628,清源股份,电气设备,福建,86.95,0.175,5.96,3.41,右边股价,20.3236,6.854514088556641,11.25,1.39,,5.49
002887,绿茵生态,建筑施工,天津,46.01,2.03,5.05,19.84,右边股价,100.192,10.975874809823951,27.19,4.91,11.81,13.86
002908,德生科技,元器件,广东,109.34,0.284,10.63,3.9,右边股价,41.457,9.721968172672398,,,,10.21
600781,辅仁药业,中成药,河南,235.01,0.075,10.9,2.15,右边股价,23.435,4.638100506361432,4.88,1.51,,3.54
300713,英可瑞,电气设备,深圳,76.85,1.214,17.26,7.2,右边股价,124.27200000000002,22.459336369551078,,,,nan
603289,泰瑞机器,专用机械,浙江,64.44,0.31,7.94,3.35,右边股价,26.599000000000004,12.321539416511484,,,,12.99
002230,科大讯飞,软件服务,安徽,395.99,0.121,10.78,5.95,右边股价,64.14099999999999,2.7222909669436097,7.5,1.03,1.44,2.2
