code,name,industry,area,pe,20162,20163,20164,20171,20172
603106,N恒银,电脑设备,天津,24.25,,,21.78,,11.5
002185,华天科技,半导体,甘肃,33.39,,6.12,,,5.06
002156,通富微电,半导体,江苏,65.33,2.26,,4.74,0.92,2.16
603321,梅轮电梯,运输设备,浙江,40.12,,,20.38,,8.75
600460,士兰微,半导体,浙江,66.48,,,3.93,,3.35
002149,西部材料,小金属,陕西,154.46,0.65,0.87,1.83,,1.17
603690,至纯科技,专用机械,上海,88.69,9.19,13.49,16.76,2.27,6.63
603559,中通国脉,通信设备,吉林,162.47,3.66,nan,13.11,,2.05
603386,广东骏亚,元器件,广东,57.46,,,25.45,,9.92
603882,金域医学,医疗保健,广东,58.29,,,16.75,,7.36
000962,东方钽业,小金属,宁夏,0.0,,,1.98,-3.59,-6.63
000920,南方汇通,环境保护,贵州,42.83,5.5,,10.38,4.17,7.7
300697,电工合金,铜,江苏,66.78,,,16.49,,7.71
002899,英派斯,文教休闲,山东,44.96,,,21.42,3.5,
300703,创源文化,文教休闲,浙江,52.14,,,48.8,,12.99
300327,中颖电子,半导体,上海,58.55,,,,,8.66
002898,赛隆药业,化学制药,广东,52.16,,,25.65,,12.02
603527,众源新材,铜,安徽,74.71,,,21.61,,9.64
300699,光威复材,化工原料,山东,67.43,,,15.19,,10.25
002049,紫光国芯,元器件,河北,84.26,5.11,9.19,,1.65,
300702,天宇股份,化学制药,浙江,28.26,,,22.25,,
300666,江丰电子,元器件,浙江,202.09,6.33,,20.96,3.26,5.07
600456,宝钛股份,小金属,陕西,0.0,,,1.08,,-1.54
603183,建研院,建筑施工,江苏,96.14,8.47,,18.17,3.38,7.51
603078,江化微,化工原料,江苏,77.67,8.69,,19.59,,5.29
300701,森霸股份,元器件,河南,36.59,,,30.46,,16.23
300678,中科信息,软件服务,四川,355.53,3.63,,12.2,-0.33,3.6
002842,翔鹭钨业,小金属,广东,81.94,8.13,,13.06,,5.36
603277,银都股份,专用机械,浙江,56.08,26.7,,46.45,5.95,nan
